jp,fr,source
勇気の証Ｇ,Certificat héros,capcom-official:mhrise-sunbreak
千刃竜の斬刃鱗,Trancheur Seregios+,capcom-official:mhrise-sunbreak
千刃竜の斬翼爪,Broyeur Seregios+,capcom-official:mhrise-sunbreak
千刃竜の断刀角,Écarteleur Seregios+,capcom-official:mhrise-sunbreak
千刃竜の破刃,Aérolame Seregios+,capcom-official:mhrise-sunbreak
千刃竜の絶槍尾,Empaleur Seregios+,capcom-official:mhrise-sunbreak
千刃竜の鏡玉,Œil Seregios,capcom-official:mhrise-sunbreak
千刃竜の閃裂爪,Dépeceur Seregios+,capcom-official:mhrise-sunbreak
卒倒昏睡袋,Poche de torpeur,capcom-official:mhrise-sunbreak
原初の寵鱗,Écaille primordiale,capcom-official:mhrise-sunbreak
原初の鉱石,Minerai Héritage,capcom-official:mhrise-sunbreak
厳寒ヒヤボックリ,Glaçône gelé,capcom-official:mhrise-sunbreak
厳選キノコ,Champignon parf.,capcom-official:mhrise-sunbreak
厳選タケノコ,Bambou parfait,capcom-official:mhrise-sunbreak
古の力士の手形,Motif de chasseur,capcom-official:mhrise-sunbreak
古びた真紅の角,Corne pourpre ancienne,capcom-official:mhrise-sunbreak
古びた調度品,Vaisselle usée,capcom-official:mhrise-sunbreak
古めかしい手記,Message ancien,capcom-official:mhrise-sunbreak
古龍の大宝玉,Joyau dragon ancien,capcom-official:mhrise-sunbreak
古龍の浄血,Sang dragon pur,capcom-official:mhrise-sunbreak
古龍の血,Sang dr. ancien,capcom-official:mhrise-sunbreak
古龍骨,Os dragon ancien,capcom-official:mhrise-sunbreak
名湯画・かんざし,Spa : barrette,capcom-official:mhrise-sunbreak
名湯画・帯留め,Spa : boucle,capcom-official:mhrise-sunbreak
名湯画・打掛,Spa : Kimono,capcom-official:mhrise-sunbreak
名湯画・飾り紐,Spa : ceinture,capcom-official:mhrise-sunbreak
咬魚のヒゲ,Moustache Gajau,capcom-official:mhrise-sunbreak
咬魚の上ヒゲ,Moustache Gajau+,capcom-official:mhrise-sunbreak
咬魚の上皮,Écaille Gajau,capcom-official:mhrise-sunbreak
咬魚の厚皮,Peau épaisse Gajau,capcom-official:mhrise-sunbreak
咬魚の皮,Peau Gajau,capcom-official:mhrise-sunbreak
咬魚の鋼ヒゲ,Moust. Gajau d'acier,capcom-official:mhrise-sunbreak
回復薬,Potion,capcom-official:mhrise-sunbreak
回復薬グレート,Méga potion,capcom-official:mhrise-sunbreak
土砂竜の剛爪,Serre Barroth,capcom-official:mhrise-sunbreak
土砂竜の堅殻,Cuirasse Barroth,capcom-official:mhrise-sunbreak
土砂竜の堅甲,Vertèb. Barroth+,capcom-official:mhrise-sunbreak
土砂竜の尻尾,Queue Barroth,capcom-official:mhrise-sunbreak
土砂竜の爪,Griffe Barroth,capcom-official:mhrise-sunbreak
土砂竜の甲殻,Carapace Barroth,capcom-official:mhrise-sunbreak
土砂竜の背甲,Vertèbre Barroth,capcom-official:mhrise-sunbreak
土砂竜の重殻,Cortex Barroth,capcom-official:mhrise-sunbreak
土砂竜の重甲,Échine Barroth,capcom-official:mhrise-sunbreak
土砂竜の重頭殻,Couronne Barroth,capcom-official:mhrise-sunbreak
土砂竜の鋭爪,Griffe Barroth+,capcom-official:mhrise-sunbreak
土砂竜の靭尾,Fouet Barroth,capcom-official:mhrise-sunbreak
土砂竜の頭殻,Scalp Barroth,capcom-official:mhrise-sunbreak
土香る重泥骨,Os dur encrassé,capcom-official:mhrise-sunbreak
垂皮油,Huile Slagtoth,capcom-official:mhrise-sunbreak
垂皮竜の上皮,Peau Slagtoth+,capcom-official:mhrise-sunbreak
垂皮竜の皮,Peau Slagtoth,capcom-official:mhrise-sunbreak
埋もれた古龍骨骸,Squel. ancien érodé,capcom-official:mhrise-sunbreak
埋もれた竜骨骸,Coque érodée,capcom-official:mhrise-sunbreak
埋もれた骨骸,Squelette érodé,capcom-official:mhrise-sunbreak
堅牢なねじれた角,Grande corne tordue,capcom-official:mhrise-sunbreak
堅牢な巨骨,G. os résistos,capcom-official:mhrise-sunbreak
堅牢な骨,Os résistos,capcom-official:mhrise-sunbreak
堅竜骨,Os duros,capcom-official:mhrise-sunbreak
堅鎧玉,Sph. arm. dense,capcom-official:mhrise-sunbreak
増強剤,Catalyseur,capcom-official:mhrise-sunbreak
壊れた騎士の鎧,Chevalier brisé,capcom-official:mhrise-sunbreak
大きなヒレ,Grande nageoire,capcom-official:mhrise-sunbreak
大きな硬骨,Os massif,capcom-official:mhrise-sunbreak
大きな骨,Os jumbos,capcom-official:mhrise-sunbreak
大タル,Grand baril,capcom-official:mhrise-sunbreak
大タル爆弾,G. bombe baril,capcom-official:mhrise-sunbreak
大タル爆弾Ｇ,Méga bombe baril,capcom-official:mhrise-sunbreak
大地の結晶,Cristal de terre,capcom-official:mhrise-sunbreak
大水袋,Poche de torrent,capcom-official:mhrise-sunbreak
大氷結化石,Gros foss. giv.,capcom-official:mhrise-sunbreak
大獣玉,Gde gemme bestiale,capcom-official:mhrise-sunbreak
大玉サボテン,Cactus raffiné,capcom-official:mhrise-sunbreak
大王錦魚,Koï suprème,capcom-official:mhrise-sunbreak
大砲弾,Munitions canon,capcom-official:mhrise-sunbreak
大禍封滅の糸,Soie céleste,capcom-official:mhrise-sunbreak
大竜玉,Gde gemme wyverne,capcom-official:mhrise-sunbreak
大翔蟲,Grand Filoptère,capcom-official:mhrise-sunbreak
大雪鬼胆,Bile Goss Harag+,capcom-official:mhrise-sunbreak
大食いマグロ,Thon glouton,capcom-official:mhrise-sunbreak
大食ツボカズラ,Plante gloutonne,capcom-official:mhrise-sunbreak
天を焦がす銀翼,Aile argent brûlante,capcom-official:mhrise-sunbreak
天廻龍の光虹翼,Ailette S. Magala,capcom-official:mhrise-sunbreak
天廻龍の剛浄爪,Purif. S. Magala,capcom-official:mhrise-sunbreak
天廻龍の剛角,Vouge S. Magala,capcom-official:mhrise-sunbreak
天廻龍の厚鱗,Éclat S. Magala,capcom-official:mhrise-sunbreak
天廻龍の天鱗,Mante S. Magala,capcom-official:mhrise-sunbreak
天廻龍の破傀玉,Gemme Shagaru rév,capcom-official:mhrise-sunbreak
天廻龍の重殻,Cortex S. Magala,capcom-official:mhrise-sunbreak
天廻龍の靭尾,Fouet S. Magala,capcom-official:mhrise-sunbreak
天彗龍の剛爪,Serre Valstrax,capcom-official:mhrise-sunbreak
天彗龍の大背尖甲,Ép. dors. Valstrax+,capcom-official:mhrise-sunbreak
天彗龍の尖爪,Griffe Valstrax+,capcom-official:mhrise-sunbreak
天彗龍の尻尾,Queue Valstrax,capcom-official:mhrise-sunbreak
天彗龍の旋尾,Queue-hélice Valstrax,capcom-official:mhrise-sunbreak
天彗龍の背尖甲,Ép. dors. Valst.,capcom-official:mhrise-sunbreak
天彗龍極の破傀玉,Gemme Valstrax rév,capcom-official:mhrise-sunbreak
天狗獣の上腕羽,Plume Bishaten+,capcom-official:mhrise-sunbreak
天狗獣の剛毛,Four. Bishaten+,capcom-official:mhrise-sunbreak
天狗獣の剛爪,Griffe Bishaten,capcom-official:mhrise-sunbreak
天狗獣の堅尾甲,Chevron Bish.+,capcom-official:mhrise-sunbreak
天狗獣の堅頭襟,Corne Bishaten+,capcom-official:mhrise-sunbreak
天狗獣の尖爪,Serre Bishaten+,capcom-official:mhrise-sunbreak
天狗獣の尾甲,Chevron Bish.,capcom-official:mhrise-sunbreak
天狗獣の毛,Four. Bishaten,capcom-official:mhrise-sunbreak
天狗獣の爪,Serre Bishaten,capcom-official:mhrise-sunbreak
天狗獣の腕羽,Plume Bishaten,capcom-official:mhrise-sunbreak
天狗獣の豪剛毛,Fourrure Bishaten,capcom-official:mhrise-sunbreak
天狗獣の豪腕羽,Plumeglisse Bish.,capcom-official:mhrise-sunbreak
天狗獣の重尾甲,Durqueue Bishaten,capcom-official:mhrise-sunbreak
天狗獣の重頭襟,Corne lde Bishaten,capcom-official:mhrise-sunbreak
天狗獣の頭襟,Corne Bishaten,capcom-official:mhrise-sunbreak
天空の龍神玉,Sphère-dragon Ciel,capcom-official:mhrise-sunbreak
天道絵巻物,Rouleau céleste,capcom-official:mhrise-sunbreak
太古の破片,Fragment antique,capcom-official:mhrise-sunbreak
太古龍骨,Gros os dragon ancien,capcom-official:mhrise-sunbreak
奇絶の赫灼殻,Carapace scint.,capcom-official:mhrise-sunbreak
奇絶の赫煌殻,Carapace brillante,capcom-official:mhrise-sunbreak
奈落の龍神玉,Sphère-dragon abyssale,capcom-official:mhrise-sunbreak
奈落の龍鱗,Écaille-dragon abyssale,capcom-official:mhrise-sunbreak
女王のフェロモン,Substance royale,capcom-official:mhrise-sunbreak
妃蜘蛛の剛爪,Serre R.-Kadaki,capcom-official:mhrise-sunbreak
妃蜘蛛の堅殻,Cuirasse R.-Kadaki,capcom-official:mhrise-sunbreak
妃蜘蛛の灯腹,Ventre R.-Kadaki,capcom-official:mhrise-sunbreak
妃蜘蛛の爛灯腹,Ventre R.-Kadaki+,capcom-official:mhrise-sunbreak
妃蜘蛛の絹糸,Soie R.-Kadaki,capcom-official:mhrise-sunbreak
妃蜘蛛の艶絹糸,Soie R.-Kadaki+,capcom-official:mhrise-sunbreak
妃蜘蛛の重殻,Cortex R.-Kadaki,capcom-official:mhrise-sunbreak
妃蜘蛛の重鉤棘,Pointe R.-Kadaki+,capcom-official:mhrise-sunbreak
妃蜘蛛の鉤棘,Pointe R.-Kadaki,capcom-official:mhrise-sunbreak
妃蜘蛛の鋭爪,Griffe ac. R.-Kadaki,capcom-official:mhrise-sunbreak
妖輝石,Awegite,capcom-official:mhrise-sunbreak
守りの爪,Griffe défense,capcom-official:mhrise-sunbreak
守りの護符,Amulette défense,capcom-official:mhrise-sunbreak
宝石の異国製図,Dessins précieux,capcom-official:mhrise-sunbreak
密林キノコ,Champignon Jungle,capcom-official:mhrise-sunbreak
密林ゼンマイ,Fougère bois sauvage,capcom-official:mhrise-sunbreak
小タル,Petit baril,capcom-official:mhrise-sunbreak
小タル爆弾,Bombe baril,capcom-official:mhrise-sunbreak
小玉サボテン,Cactus nain,capcom-official:mhrise-sunbreak
小花咲く植木鉢,Petit pot de fleurs,capcom-official:mhrise-sunbreak
小金魚,Poisson rouge,capcom-official:mhrise-sunbreak
尖竜骨,Os acéros,capcom-official:mhrise-sunbreak
尖鎧玉,Sph. arm. acér.,capcom-official:mhrise-sunbreak
山盛り茸,Champimonts,capcom-official:mhrise-sunbreak
岩竜の剛翼,Égide Basarios,capcom-official:mhrise-sunbreak
岩竜の堅殻,Cuir. Basarios,capcom-official:mhrise-sunbreak
岩竜の堅胸殻,Plexus Basarios+,capcom-official:mhrise-sunbreak
岩竜の天殻,Pallium Basarios,capcom-official:mhrise-sunbreak
岩竜の尻尾,Queue Basarios,capcom-official:mhrise-sunbreak
岩竜の涙,Larme Basarios,capcom-official:mhrise-sunbreak
岩竜の甲殻,Carap. Basarios,capcom-official:mhrise-sunbreak
岩竜の翼,Aile Basarios,capcom-official:mhrise-sunbreak
岩竜の胸殻,Plexus Basarios,capcom-official:mhrise-sunbreak
岩竜の重殻,Cortex Basarios,capcom-official:mhrise-sunbreak
岩竜の重胸殻,Pectus Basarios+,capcom-official:mhrise-sunbreak
岩竜の靭尾,Fouet Basarios,capcom-official:mhrise-sunbreak
嵐気胞塊,Vésicule tempête+,capcom-official:mhrise-sunbreak
嵐龍の凄尾,Queue-temp Amatsu,capcom-official:mhrise-sunbreak
嵐龍の剛爪,Serre Amatsu,capcom-official:mhrise-sunbreak
嵐龍の剛角,Vouge Amatsu,capcom-official:mhrise-sunbreak
嵐龍の厚飛膜,Membrane Amatsu,capcom-official:mhrise-sunbreak
嵐龍の重殻,Cortex Amatsu,capcom-official:mhrise-sunbreak
嵐龍の重胸殻,Scutum Amatsu,capcom-official:mhrise-sunbreak
巨大な竜骨,Os géant,capcom-official:mhrise-sunbreak
幻鳥竜玉,Gemme oiseau mythique,capcom-official:mhrise-sunbreak
幽炎ホオズキ,Baielégante,capcom-official:mhrise-sunbreak
強力麻痺袋,Poche omniplégie,capcom-official:mhrise-sunbreak
強撃ビン,Fiole de force,capcom-official:mhrise-sunbreak
強燃石炭,Charbon explosif,capcom-official:mhrise-sunbreak
強竜骨,Os rigidos,capcom-official:mhrise-sunbreak
強走薬,Potion vitalité,capcom-official:mhrise-sunbreak
強靭な爪,Griffe coriace,capcom-official:mhrise-sunbreak
往古の調度品,Vaisselle antique,capcom-official:mhrise-sunbreak
後退弾,Tir de retraite,capcom-official:mhrise-sunbreak
徹甲榴弾,Tir antiblindage,capcom-official:mhrise-sunbreak
忍耐の種,Graine ténacité,capcom-official:mhrise-sunbreak
応急薬,Premiers soins,capcom-official:mhrise-sunbreak
応急薬グレート,Premiers soins+,capcom-official:mhrise-sunbreak
怨嗟呻く鎧刀殻,Carapépée gém.,capcom-official:mhrise-sunbreak
怨恨纏いし隻兜角,Corne du mal,capcom-official:mhrise-sunbreak
怨虎竜の上鱗,Écaille Magna.+,capcom-official:mhrise-sunbreak
怨虎竜の兜角,Corne Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の刀殻,Scutelle Magna.,capcom-official:mhrise-sunbreak
怨虎竜の剛兜角,Corne Magnamalo+,capcom-official:mhrise-sunbreak
怨虎竜の厚鱗,Éclat Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の堅殻,Carapace Magna.+,capcom-official:mhrise-sunbreak
怨虎竜の妖刀殻,Scutelle Magna.+,capcom-official:mhrise-sunbreak
怨虎竜の妖腕刃,Lame Magnamalo+,capcom-official:mhrise-sunbreak
怨虎竜の宿望瞳,Œil de Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の槍刃尾,Queue Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の獄兜角,Cor inf. Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の獄刀殻,Carapépée Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の甲殻,Carapace Magna.,capcom-official:mhrise-sunbreak
怨虎竜の禍玉,Orbe Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の紫玉,Orbe Mag. violet,capcom-official:mhrise-sunbreak
怨虎竜の腕刃,Lame Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の覇腕刃,Lame suze. Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の豪槍刃尾,Queue Magnamalo+,capcom-official:mhrise-sunbreak
怨虎竜の逆鱗,Plaque Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の重殻,Cortex Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の鎧重殻,Cortex armé Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の閻結晶,Prisme barr. Magna.,capcom-official:mhrise-sunbreak
怨虎竜の霊結晶,Prisme Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の靭槍刃尾,Queue-lance Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の魂結晶,Prisme Magnamalo,capcom-official:mhrise-sunbreak
怨虎竜の魂魄結晶,Prisme Magnamalo+,capcom-official:mhrise-sunbreak
怨虎竜の鱗,Écaille Magna.,capcom-official:mhrise-sunbreak
怪しげな牙,Croc suspect,capcom-official:mhrise-sunbreak
怪しげな重牙,Croc lourd mystique,capcom-official:mhrise-sunbreak
怪しげな鋭牙,Croc suspect+,capcom-official:mhrise-sunbreak
怪力の種,Graine de force,capcom-official:mhrise-sunbreak
怪盗の予告状,Carte du voleur,capcom-official:mhrise-sunbreak
悠久燃石炭,Charbon aeonien,capcom-official:mhrise-sunbreak
愛犬のネジパーツ,Boulons de chien,capcom-official:mhrise-sunbreak
感謝チケット,Ticket Anniversaire,capcom-official:mhrise-sunbreak
憤怨迸る業腕刃,Lame patte déferlante,capcom-official:mhrise-sunbreak
投げクナイ,Kunai de lancer,capcom-official:mhrise-sunbreak
捕獲用麻酔弾,Tranquillisant,capcom-official:mhrise-sunbreak
捕獲用麻酔玉,Bombe tranq.,capcom-official:mhrise-sunbreak
接撃ビン,Fiole de combat,capcom-official:mhrise-sunbreak
掻鳥のクチバシ,Bec Kulu-Ya-Ku,capcom-official:mhrise-sunbreak
掻鳥の上皮,Peau Kulu-Ya-Ku+,capcom-official:mhrise-sunbreak
掻鳥の上鱗,Écaille Kulu+,capcom-official:mhrise-sunbreak
掻鳥の厚皮,Peau ép. Kulu-Ya-Ku,capcom-official:mhrise-sunbreak
掻鳥の厚鱗,Éclat Kulu-Ya-Ku,capcom-official:mhrise-sunbreak
掻鳥の大クチバシ,Bec Kulu-Ya-Ku+,capcom-official:mhrise-sunbreak
掻鳥の大飾り羽,Aigrette Kulu+,capcom-official:mhrise-sunbreak
掻鳥の特大飾り羽,Gde aig. Kulu-Ya-Ku,capcom-official:mhrise-sunbreak
掻鳥の皮,Peau Kulu-Ya-Ku,capcom-official:mhrise-sunbreak
掻鳥の飾り羽,Aigrette Kulu,capcom-official:mhrise-sunbreak
掻鳥の鱗,Écaille Kulu,capcom-official:mhrise-sunbreak
携帯食料,Ration,capcom-official:mhrise-sunbreak
撃龍王のコイン,Pièce As chasse,capcom-official:mhrise-sunbreak
支給用こやし玉,Bombe de bouse X,capcom-official:mhrise-sunbreak
支給用シビレ罠,Piège élec. X,capcom-official:mhrise-sunbreak
支給用モドリ玉,Téléportogène X,capcom-official:mhrise-sunbreak
支給用大タル爆弾,G. bombe baril X,capcom-official:mhrise-sunbreak
支給用大粉塵,Poussière vie X,capcom-official:mhrise-sunbreak
支給用携帯食料,Ration X,capcom-official:mhrise-sunbreak
支給用漢方の粉塵,Poudre vég. X,capcom-official:mhrise-sunbreak
支給用生命の粉塵,Poudre de vie X,capcom-official:mhrise-sunbreak
支給用硬化の粉塵,P. de pierre X,capcom-official:mhrise-sunbreak
支給用秘薬,Potion secrète X,capcom-official:mhrise-sunbreak
支給用肉エサ,Appât viande X,capcom-official:mhrise-sunbreak
支給用落とし穴,Piège à fosse X,capcom-official:mhrise-sunbreak
支給用閃光玉,Bombe flash X,capcom-official:mhrise-sunbreak
支給用音爆弾,Bombe sonique X,capcom-official:mhrise-sunbreak
支給用鬼人の粉塵,Poudre démon X,capcom-official:mhrise-sunbreak
支給用麻酔玉,Bombe tranq. X,capcom-official:mhrise-sunbreak
斬裂弾,Tranchant,capcom-official:mhrise-sunbreak
明王原珠,Joyau souveraine,capcom-official:mhrise-sunbreak
昏睡袋,Poche de coma,capcom-official:mhrise-sunbreak
星戻の稀花,Joyau Étoile déchue,capcom-official:mhrise-sunbreak
星見の花,Lys oriental,capcom-official:mhrise-sunbreak
星見の麗花,Fleur orientale,capcom-official:mhrise-sunbreak
春夜鯉,Carpe de print.,capcom-official:mhrise-sunbreak
暖かい毛皮,Pelage chaud,capcom-official:mhrise-sunbreak
最強燃石炭,Charbon inflam.,capcom-official:mhrise-sunbreak
月迅竜の厚鱗,Éclat Narga sélén,capcom-official:mhrise-sunbreak
月迅竜の豪斑毛,Taches Narga sélénite,capcom-official:mhrise-sunbreak
月迅竜の透刃翼,Rasoir Narga sélénite,capcom-official:mhrise-sunbreak
月迅竜の重尾棘,Poinqueue Narga sélén,capcom-official:mhrise-sunbreak
月迅竜の重牙,Croc lourd Narga sélén,capcom-official:mhrise-sunbreak
朧月の欠片,Éclat de lune voilé,capcom-official:mhrise-sunbreak
未熟な海綿質,Éponge immature,capcom-official:mhrise-sunbreak
柔軟な厚皮,Cuir souple,capcom-official:mhrise-sunbreak
棘竜の剛角,Vouge Espinas,capcom-official:mhrise-sunbreak
棘竜の厚鱗,Éclat Espinas,capcom-official:mhrise-sunbreak
棘竜の天鱗,Mante Espinas,capcom-official:mhrise-sunbreak
棘竜の濃毒血,Sang toxique Espinas,capcom-official:mhrise-sunbreak
棘竜の秘棘,Aiguille Espinas,capcom-official:mhrise-sunbreak
棘竜の重殻,Cortex Espinas,capcom-official:mhrise-sunbreak
棘竜の靭尾,Fouet Espinas,capcom-official:mhrise-sunbreak
棘茶竜の剛角,Vouge Espinas de feu,capcom-official:mhrise-sunbreak
棘茶竜の厚鱗,Éclat Espinas de feu,capcom-official:mhrise-sunbreak
棘茶竜の天鱗,Mante Espinas de feu,capcom-official:mhrise-sunbreak
棘茶竜の濃重酸,Soufre Espinas de feu,capcom-official:mhrise-sunbreak
棘茶竜の秘棘,Aiguille Espinas de feu,capcom-official:mhrise-sunbreak
棘茶竜の重殻,Cortex Espinas de feu,capcom-official:mhrise-sunbreak
棘茶竜の靭尾,Fouet Espinas de feu,capcom-official:mhrise-sunbreak
業炎袋,Poche explosive,capcom-official:mhrise-sunbreak
極上の毛皮,Pelage exceptionnel,capcom-official:mhrise-sunbreak
極上の腹袋,Estomac prisé,capcom-official:mhrise-sunbreak
極上ザザミソ,Cerveau Carapaceon+,capcom-official:mhrise-sunbreak
極上ゼンマイ,Fougère prisée,capcom-official:mhrise-sunbreak
極上ベルナス,Aubergine Bherna +,capcom-official:mhrise-sunbreak
極上ヤド真珠,Perle de crabe+,capcom-official:mhrise-sunbreak
極上黒真珠,Perle noire parfaite,capcom-official:mhrise-sunbreak
極寒ヒヤボックリ,Glaçône arctique,capcom-official:mhrise-sunbreak
欠けた龍骨,Fragm. de dragon,capcom-official:mhrise-sunbreak
殺意の波動,Satsui no Hado,capcom-official:mhrise-sunbreak
毒けむり玉,Bombe de poison,capcom-official:mhrise-sunbreak
毒クモリ,Kumori toxique,capcom-official:mhrise-sunbreak
毒テングダケ,Champi vénéneux,capcom-official:mhrise-sunbreak
毒ビン,Fiole de poison,capcom-official:mhrise-sunbreak
毒妖鳥の上鱗,Écaille Pukei+,capcom-official:mhrise-sunbreak
毒妖鳥の剛翼,Égide Pukei-Pukei,capcom-official:mhrise-sunbreak
毒妖鳥の厚鱗,Éclat Pukei-Pukei,capcom-official:mhrise-sunbreak
毒妖鳥の喉袋,Poche Pukei,capcom-official:mhrise-sunbreak
毒妖鳥の堅殻,Cuirasse Pukei,capcom-official:mhrise-sunbreak
毒妖鳥の大喉袋,Poche Pukei+,capcom-official:mhrise-sunbreak
毒妖鳥の尻尾,Queue Pukei,capcom-official:mhrise-sunbreak
毒妖鳥の特大喉袋,Gde poche Pukei-Pukei,capcom-official:mhrise-sunbreak
毒妖鳥の甲殻,Carapace Pukei,capcom-official:mhrise-sunbreak
毒妖鳥の羽根,Plume Pukei,capcom-official:mhrise-sunbreak
毒妖鳥の翼,Aile Pukei-Pukei,capcom-official:mhrise-sunbreak
毒妖鳥の重殻,Cortex Pukei-Pukei,capcom-official:mhrise-sunbreak
毒妖鳥の靭尾,Fouet Pukei-Pukei,capcom-official:mhrise-sunbreak
毒妖鳥の鱗,Écaille Pukei,capcom-official:mhrise-sunbreak
毒投げクナイ,Kunai poison,capcom-official:mhrise-sunbreak
毒狗竜の上皮,Peau G. Wroggi+,capcom-official:mhrise-sunbreak
毒狗竜の厚皮,Peau ép. Gd Wroggi,capcom-official:mhrise-sunbreak
毒狗竜の堅腕甲,Avt-br G. Wr.+,capcom-official:mhrise-sunbreak
毒狗竜の皮,Peau G. Wroggi,capcom-official:mhrise-sunbreak
毒狗竜の腕甲,Avt-br G. Wroggi,capcom-official:mhrise-sunbreak
毒生肉,Viande poison,capcom-official:mhrise-sunbreak
毒袋,Poche de poison,capcom-official:mhrise-sunbreak
水光原珠,Joy. reflet aqua,capcom-official:mhrise-sunbreak
水冷タル爆弾,B. baril Eau,capcom-official:mhrise-sunbreak
水冷弾,Aquatique,capcom-official:mhrise-sunbreak
水獣のトサカ,Crête Ludr. r.,capcom-official:mhrise-sunbreak
水獣の上鱗,Éc. Ludr. royal+,capcom-official:mhrise-sunbreak
水獣の剛爪,Serre Ludroth royal,capcom-official:mhrise-sunbreak
水獣の厚鱗,Éclat Ludroth royal,capcom-official:mhrise-sunbreak
水獣の尻尾,Queue Ludr. r.,capcom-official:mhrise-sunbreak
水獣の爪,Griffe Ludroth royal,capcom-official:mhrise-sunbreak
水獣の鋭爪,Griffe Ludr. r.+,capcom-official:mhrise-sunbreak
水獣の靭尾,Fouet Ludroth royal,capcom-official:mhrise-sunbreak
水獣の鱗,Éc. Ludr. royal,capcom-official:mhrise-sunbreak
水生獣の上皮,Peau aquatique+,capcom-official:mhrise-sunbreak
水生獣の厚皮,Cuir aquatique,capcom-official:mhrise-sunbreak
水生獣の皮,Peau aquatique,capcom-official:mhrise-sunbreak
水袋,Poche d'eau,capcom-official:mhrise-sunbreak
水辺の異国製図,Dessins côtiers,capcom-official:mhrise-sunbreak
氷人魚竜の凍殻,Cortex Auroracanth,capcom-official:mhrise-sunbreak
氷人魚竜の凍爪,Griffe Auroracanth,capcom-official:mhrise-sunbreak
氷人魚竜の凍鱗,Écaille Auroracanth,capcom-official:mhrise-sunbreak
氷人魚竜の髪ヒレ,Nageoire Auroracanth,capcom-official:mhrise-sunbreak
氷晶の厚龍鱗,Éclat de cristal,capcom-official:mhrise-sunbreak
氷瀑の彩水晶,Prisme blizzard,capcom-official:mhrise-sunbreak
氷牙竜の上毛皮,Pelage Barioth+,capcom-official:mhrise-sunbreak
氷牙竜の剛爪,Serre Barioth,capcom-official:mhrise-sunbreak
氷牙竜の厚毛皮,Fourrure Barioth,capcom-official:mhrise-sunbreak
氷牙竜の堅殻,Carapace Barioth,capcom-official:mhrise-sunbreak
氷牙竜の尻尾,Queue Barioth,capcom-official:mhrise-sunbreak
氷牙竜の棘,Pointe Barioth,capcom-official:mhrise-sunbreak
氷牙竜の毛皮,Pelage Barioth,capcom-official:mhrise-sunbreak
氷牙竜の爪,Griffe Barioth,capcom-official:mhrise-sunbreak
氷牙竜の甲殻,Cuirasse Barioth,capcom-official:mhrise-sunbreak
氷牙竜の重棘,Gde pointe Barioth,capcom-official:mhrise-sunbreak
氷牙竜の重殻,Cortex Barioth,capcom-official:mhrise-sunbreak
氷牙竜の鋭爪,Griffe Barioth+,capcom-official:mhrise-sunbreak
氷牙竜の靭尾,Fouet Barioth,capcom-official:mhrise-sunbreak
氷狼竜の剛朱爪,Serre Lunagaron,capcom-official:mhrise-sunbreak
氷狼竜の厚鱗,Éclat Lunagaron,capcom-official:mhrise-sunbreak
氷狼竜の秘氷玉,Joyau gel Lunagaron,capcom-official:mhrise-sunbreak
氷狼竜の重殻,Cortex Lunagaron,capcom-official:mhrise-sunbreak
氷狼竜の雹蒼核,Noyau Lunagaron,capcom-official:mhrise-sunbreak
氷狼竜の靭尾殻,Cuirasse Lunagaron,capcom-official:mhrise-sunbreak
氷結タル爆弾,B. baril Glace,capcom-official:mhrise-sunbreak
氷結化石,Fossile givré,capcom-official:mhrise-sunbreak
氷結弾,Cryogénique,capcom-official:mhrise-sunbreak
氷結袋,Poche de givre,capcom-official:mhrise-sunbreak
河童蛙の上皮,Peau Tetranadon+,capcom-official:mhrise-sunbreak
河童蛙の剛嘴,Gd bec Tetranadon,capcom-official:mhrise-sunbreak
河童蛙の厚皮,Peau ép. Tetranadon,capcom-official:mhrise-sunbreak
河童蛙の嘴,Bec Tetranadon,capcom-official:mhrise-sunbreak
河童蛙の大嘴,Bec Tetranadon+,capcom-official:mhrise-sunbreak
河童蛙の大皿,Disque Tetra.+,capcom-official:mhrise-sunbreak
河童蛙の特上皿,Disque fin Tetra.,capcom-official:mhrise-sunbreak
河童蛙の皮,Peau Tetranadon,capcom-official:mhrise-sunbreak
河童蛙の皿,Disque Tetra.,capcom-official:mhrise-sunbreak
河童蛙の苔堅甲,Cuirasse Tetra.+,capcom-official:mhrise-sunbreak
河童蛙の苔背甲,Cuirasse Tetra.,capcom-official:mhrise-sunbreak
河童蛙の苔重甲,Gde cuirasse Tetra.,capcom-official:mhrise-sunbreak
泡狐竜の上錦ヒレ,Nageoire Mizu.+,capcom-official:mhrise-sunbreak
泡狐竜の上鱗,Écaille Mizu.+,capcom-official:mhrise-sunbreak
