jp,fr,occurrences,origin,example
ブラキ,Brachy,50,en-patch,ブラキヘルム / ブラキＧヘルム
ベリオ,Barioth,50,en-patch,ベリオヘルム / ベリオＧヘルム
ガンキン,Uragaan,50,en-patch,ガンキンヘルム / ガンキンＧヘルム
ナルガ,Nargacuga,50,en-patch,ナルガヘルム / ナルガＧヘルム
獄狼,Stygian,50,en-patch,獄狼ヘルム / 獄狼Ｇヘルム
ゴア,,50,unresolved,ゴアヘルム / ゴアＧヘルム
シャガル,Shagaru,50,en-patch,シャガルヘルム / シャガルＧヘルム
レギオス,Seregios,50,en-patch,レギオスヘルム / レギオスＧヘルム
アスール,Azul,48,en-patch,アスールヘッド / アスールＦヘッド
シャドウ,Ombre,48,francised,シャドウスーツ紫 / シャドウＦスーツ紫
ソウル,,48,unresolved,ソウルスーツ紫 / ソウルＦスーツ紫
ガルーダ,Garuda,46,en-patch,ガルーダヘッド / ガルーダピアス
ルコ,Ruko,46,en-patch,ルコヘッド / ルコＦヘッド
エクエス,Eques,45,en-patch,エクエスヘルム / エクエスキャップ
パンデウム,Pandeum,45,en-patch,パンデウムヘッド / パンデウムピアス
フィアラル,Féral,45,francised,フィアラルヘッド / フィアラルピアス
ワイルド,Sauvage,45,francised,ワイルドヘッド / ワイルドピアス
ディアン,Dian,45,en-patch,ディアンヘッド / ディアンピアス
クラージ,Kuraaji,45,en-patch,クラージヘルム / クラージＦヘルム
フラウア,Fleur,45,francised,フラウアヘッド / フラウアピアス
フィアス,Fias,45,en-patch,フィアスヘッド / フィアスピアス
ヴィルト,Viruto,45,en-patch,ヴィルトヘッド / ヴィルトピアス
オーロワ,Oorowa,45,en-patch,オーロワヘルム / オーロワＦヘルム
マダル,Madaru,45,en-patch,マダルヘルム / マダルＦヘルム
プロミス,Promesse,40,francised,プロミスヘッド【白】 / プロミスヘッド【青】
ゴスペル,,40,unresolved,ゴスペルヘルム / ゴスペルキャップ
クラフト,,40,unresolved,クラフトヘッド / クラフトＦヘッド
ヴィネン,Vinen,40,en-patch,ヴィネンヘッド / ヴィネンＦヘッド
リサーザ,Risaaza,40,en-patch,リサーザＦヘッド / リサーザＦマスク
トリート,,40,unresolved,トリートヘッド / トリートＦヘッド
タングス,Tangusu,40,en-patch,タングスヘッド / タングスＦヘッド
ドグメア,Dogumea,40,en-patch,ドグメアヘルム / ドグメアＦヘルム
アルゴル,Algol,40,en-patch,アルゴルＦヘルム / アルゴルFXヘルム
ホープ,Espoir,40,francised,ホープヘルム / ホープＧヘルム
ポカラ,Pokara,40,monster,ポカラＧヘルム / ポカラGFヘルム
ファルノ,Farunokku,40,en-patch,ファルノＧヘルム / ファルノGFヘルム
グラッシュ,Glasshu,40,romaji,グラッシュヘッド / グラッシュＦヘッド
ディス,Disu,40,en-patch,ディスＧヘルム / ディスGFヘルム
ブリンク,,40,unresolved,ブリンクＦバンド / ブリンクＦヘッド
ヒガクレ,Higakure,40,en-patch,ヒガクレＧヘルム / ヒガクレGFヘルム
IS学園,,40,unresolved,IS学園ヘッド・白 / IS学園ピアス・白
IS学園Ｆ,,40,unresolved,IS学園Ｆヘッド・白 / IS学園Ｆピアス・白
IS学園FZ,,40,unresolved,IS学園FZヘッド・白 / IS学園FZピアス・白
IS学園HS,,40,unresolved,IS学園HSヘッド・白 / IS学園HSピアス・白
IS学園GS,,40,unresolved,IS学園GSヘッド・白 / IS学園GSピアス・白
IS学園GP,,40,unresolved,IS学園GPヘッド・白 / IS学園GPピアス・白
ハロキュ,Harokyu,40,en-patch,ハロキュヘッド / ハロキュＦヘッド
CEケブラー,CE,40,en-patch,CEケブラー頭：剣青 / CEケブラー頭：弓青
CEケブラーＦ,CE,40,en-patch,CEケブラーＦ頭：剣青 / CEケブラーＦ頭：弓青
CEケブラーFZ,CE,40,en-patch,CEケブラーFZ頭：剣青 / CEケブラーFZ頭：弓青
CEケブラーHS,CE,40,en-patch,CEケブラーHS頭：剣青 / CEケブラーHS頭：弓青
CEケブラーGS,CE,40,en-patch,CEケブラーGS頭：剣青 / CEケブラーGS頭：弓青
CEケブラーGP,CE,40,en-patch,CEケブラーGP頭：剣青 / CEケブラーGP頭：弓青
ABレイヤー,,40,unresolved,ABレイヤー頭：剣赤 / ABレイヤー頭：弓赤
ABレイヤーＦ,,40,unresolved,ABレイヤーＦ頭：剣赤 / ABレイヤーＦ頭：弓赤
ABレイヤーFZ,,40,unresolved,ABレイヤーFZ頭：剣赤 / ABレイヤーFZ頭：弓赤
ABレイヤーHS,,40,unresolved,ABレイヤーHS頭：剣赤 / ABレイヤーHS頭：弓赤
ABレイヤーGS,,40,unresolved,ABレイヤーGS頭：剣赤 / ABレイヤーGS頭：弓赤
ABレイヤーGP,,40,unresolved,ABレイヤーGP頭：剣赤 / ABレイヤーGP頭：弓赤
ネコダン,Nekodan,40,en-patch,ネコダンヘッド / ネコダンＦヘッド
グーダン,Gudan,40,en-patch,グーダンヘッド / グーダンＦヘッド
エルゼ,Elzelion,40,en-patch,エルゼＧヘルム / エルゼGFヘルム
コリニィ,Korinyi,40,en-patch,コリニィＺバンド / コリニィZYバンド
CEケブラーZP,CE,40,en-patch,CEケブラーZP頭：剣青 / CEケブラーZP頭：弓青
ABレイヤーZP,,40,unresolved,ABレイヤーZP頭：剣赤 / ABレイヤーZP頭：弓赤
ラファン,Rapin,40,en-patch,ラファンＧヘルム / ラファンGFヘルム
ブレオ,Breo,39,en-patch,ブレオヘッド / ブレオピアス
オービス,Ukon,37,en-patch,オービスヘッド / オービスＦヘッド
ロット,Rott,37,romaji,ロットヘッド / ロットＦヘッド
アナキ,Anaki,36,romaji,アナキヘッド / アナキバンド
ルキス,Lucis,36,en-patch,ルキスＦヘッド / ルキスHSヘッド
ランセ,Rance,36,en-patch,ランセＧヘッド / ランセGFヘッド
ギルドバード,Guilde,36,francised,ギルドバードハット / ギルドバードＧハット
シエリー,Shieri,35,en-patch,シエリーヘルム / シエリーＦヘルム
エクセレ,Excelle,35,en-patch,エクセレヘルム / エクセレＦヘルム
モスカバ,,35,unresolved,モスカバヘルム / モスカバＦヘルム
コバルタ,Kobaruta,35,en-patch,コバルタキャップ / コバルタＦキャップ
コンセル,Konseru,35,en-patch,コンセルＧヘルム / コンセルGFヘルム
エントラ,Entora,35,en-patch,エントラＧヘルム / エントラGFヘルム
キャリッジ,Carrosse,35,francised,キャリッジヘッド / キャリッジＦヘッド
マーブル,Marbre,35,francised,マーブルヘッド / マーブルＦヘッド
バンケット,,35,unresolved,バンケットヘッド / バンケットＦヘッド
フロガダ,Furogada,35,en-patch,フロガダＧヘッド / フロガダGFヘッド
リアルオ,Riaruo,35,en-patch,リアルオＧヘルム / リアルオGFヘルム
レウアス,Reuasu,35,en-patch,レウアスＧヘルム / レウアスGFヘルム
レイレス,Reiresu,35,en-patch,レイレスＧヘルム / レイレスGFヘルム
カタンテ,Katante,35,en-patch,カタンテＺヘルム / カタンテZYヘルム
リカンテ,Rikante,35,en-patch,リカンテＺヘルム / リカンテZYヘルム
チャトレ,Chatore,35,en-patch,チャトレＧヘルム / チャトレGFヘルム
蒼ノ剣雄,,35,unresolved,蒼ノ剣雄ヘルム / 蒼ノ剣雄Ｆヘルム
紅ノ双星,,35,unresolved,紅ノ双星ヘルム / 紅ノ双星Ｆヘルム
黒ノ天剣,,35,unresolved,黒ノ天剣ヘルム / 黒ノ天剣Ｆヘルム
茜ノ春刀,,35,unresolved,茜ノ春刀ヘルム / 茜ノ春刀Ｆヘルム
菊ノ乱鎚,,35,unresolved,菊ノ乱鎚ヘルム / 菊ノ乱鎚Ｆヘルム
桜ノ歌笛,,35,unresolved,桜ノ歌笛ヘルム / 桜ノ歌笛Ｆヘルム
空ノ砕槍,,35,unresolved,空ノ砕槍ヘルム / 空ノ砕槍Ｆヘルム
宵ノ告槍,,35,unresolved,宵ノ告槍ヘルム / 宵ノ告槍Ｆヘルム
白ノ穿光,,35,unresolved,白ノ穿光ヘルム / 白ノ穿光Ｆヘルム
藤ノ彩斧,Colour,35,en-patch,藤ノ彩斧ヘルム / 藤ノ彩斧Ｆヘルム
陽ノ砲銃,,35,unresolved,陽ノ砲銃キャップ / 陽ノ砲銃Ｆキャップ
地ノ崩砲,,35,unresolved,地ノ崩砲キャップ / 地ノ崩砲Ｆキャップ
夜ノ弓聖,,35,unresolved,夜ノ弓聖キャップ / 夜ノ弓聖Ｆキャップ
アルミュ,Arumyu,35,en-patch,アルミュＧヘッド / アルミュGFヘッド
リエブレ,Liebre,35,en-patch,リエブレＧヘルム / リエブレGFヘルム
メレンテ,Merente,35,en-patch,メレンテＺヘルム / メレンテZYヘルム
フォンセ,Fonse,35,en-patch,フォンセＧヘルム / フォンセGFヘルム
ウタンテ,Utante,35,en-patch,ウタンテＺヘルム / ウタンテZYヘルム
リズヴェ,Rizuvue,35,en-patch,リズヴェＧヘルム / リズヴェGFヘルム
フランテ,Furante,35,en-patch,フランテＺヘルム / フランテZYヘルム
カリヴァ,Cariva,35,en-patch,カリヴァＧヘルム / カリヴァGFヘルム
ボンネ,Bonne,35,en-patch,ボンネＧヘルム / ボンネGFヘルム
ビーター,Bita,35,en-patch,ビーターＧヘルム / ビーターGFヘルム
コレプト,Koreputo,35,en-patch,コレプトＧヘルム / コレプトGFヘルム
グリディ,Guridi,35,en-patch,グリディＺヘルム / グリディZYヘルム
シフニィ,Shifunyi,35,en-patch,シフニィＺバンド / シフニィZYバンド
シャンル,Shanru,35,en-patch,シャンルＺヘルム / シャンルZYヘルム
ファンル,Fanru,35,en-patch,ファンルＺヘルム / ファンルZYヘルム
エリュシ,Elysi,35,en-patch,エリュシＧヘルム / エリュシGFヘルム
ミュンル,Myunru,35,en-patch,ミュンルＺヘルム / ミュンルZYヘルム
ニンファ,Nympha,34,en-patch,ニンファＧヘルム / ニンファGFヘルム
ルージュ,,32,unresolved,ルージュピアス / ルージュＦピアス
ガウシカ,Anteka,32,monster,ガウシカヘッド / ガウシカＦヘッド
オトノ,Otono,32,en-patch,オトノヘッド / オトノＦヘッド
シウス,Shiusu,32,en-patch,シウスＧヘッド / シウスGFヘッド
チール,Chiru,32,en-patch,チールＧヘッド / チールGFヘッド
ガネト,Ganeto,32,en-patch,ガネトＧヘッド / ガネトGFヘッド
白蘭・剣聖,,31,unresolved,白蘭・剣聖ヘルム / 白蘭・剣聖Ｆヘルム
紅霞・剣聖,,31,unresolved,紅霞・剣聖ヘルム / 紅霞・剣聖Ｆヘルム
白蘭・双龍,,31,unresolved,白蘭・双龍ヘルム / 白蘭・双龍Ｆヘルム
紅霞・双龍,,31,unresolved,紅霞・双龍ヘルム / 紅霞・双龍Ｆヘルム
白蘭・剣王,,31,unresolved,白蘭・剣王ヘルム / 白蘭・剣王Ｆヘルム
紅霞・剣王,,31,unresolved,紅霞・剣王ヘルム / 紅霞・剣王Ｆヘルム
白蘭・刀神,,31,unresolved,白蘭・刀神ヘルム / 白蘭・刀神Ｆヘルム
紅霞・刀神,,31,unresolved,紅霞・刀神ヘルム / 紅霞・刀神Ｆヘルム
白蘭・鈍器獣,,31,unresolved,白蘭・鈍器獣ヘルム / 白蘭・鈍器獣Ｆヘルム
紅霞・鈍器獣,,31,unresolved,紅霞・鈍器獣ヘルム / 紅霞・鈍器獣Ｆヘルム
白蘭・奏帝,,31,unresolved,白蘭・奏帝ヘルム / 白蘭・奏帝Ｆヘルム
紅霞・奏帝,,31,unresolved,紅霞・奏帝ヘルム / 紅霞・奏帝Ｆヘルム
白蘭・天槍,,31,unresolved,白蘭・天槍ヘルム / 白蘭・天槍Ｆヘルム
紅霞・天槍,,31,unresolved,紅霞・天槍ヘルム / 紅霞・天槍Ｆヘルム
白蘭・砲皇,,31,unresolved,白蘭・砲皇ヘルム / 白蘭・砲皇Ｆヘルム
紅霞・砲皇,,31,unresolved,紅霞・砲皇ヘルム / 紅霞・砲皇Ｆヘルム
白蘭・穿凰,,31,unresolved,白蘭・穿凰ヘルム / 白蘭・穿凰Ｆヘルム
紅霞・穿凰,,31,unresolved,紅霞・穿凰ヘルム / 紅霞・穿凰Ｆヘルム
白蘭・銃仙,,31,unresolved,白蘭・銃仙マスク / 白蘭・銃仙Ｆマスク
紅霞・銃仙,,31,unresolved,紅霞・銃仙マスク / 紅霞・銃仙Ｆマスク
白蘭・銃傑,,31,unresolved,白蘭・銃傑マスク / 白蘭・銃傑Ｆマスク
紅霞・銃傑,,31,unresolved,紅霞・銃傑マスク / 紅霞・銃傑Ｆマスク
白蘭・弓鬼,,31,unresolved,白蘭・弓鬼マスク / 白蘭・弓鬼Ｆマスク
紅霞・弓鬼,,31,unresolved,紅霞・弓鬼マスク / 紅霞・弓鬼Ｆマスク
白蘭・斬将,,31,unresolved,白蘭・斬将ヘルム / 白蘭・斬将Ｆヘルム
紅霞・斬将,,31,unresolved,紅霞・斬将ヘルム / 紅霞・斬将Ｆヘルム
白蘭・磁星,,31,unresolved,白蘭・磁星ヘルム / 白蘭・磁星Ｆヘルム
紅霞・磁星,,31,unresolved,紅霞・磁星ヘルム / 紅霞・磁星Ｆヘルム
ギアノス,Giaprey,30,monster,ギアノスヘルム / ギアノスキャップ
ディレット,Diletto,30,en-patch,ディレットピアス / ディレットＦピアス
クォート,,30,unresolved,クォートピアス / クォートＦピアス
ククボ,Kukubo,30,en-patch,ククボヘッド / ククボＦヘッド
ピエトラ,Pietra,30,en-patch,ピエトラＧヘルム / ピエトラGFヘルム
ヘッジ,Hyuji,30,en-patch,ヘッジＧヘルム / ヘッジGFヘルム
ロウセス,Roses,30,en-patch,ロウセスＧヘルム / ロウセスＧキャップ
サベージ,Giaorugu,30,en-patch,サベージＧヘルム / サベージGFヘルム
トルペド,Torpille,30,francised,トルペドＧヘルム / トルペドGFヘルム
グラビデ,Gravios,30,en-patch,グラビデＧヘルム / グラビデGFヘルム
ルナ,Lune,30,en-patch,ルナＧヘルム / ルナGFヘルム
プランダ,Pillard,30,francised,プランダＧヘルム / プランダGFヘルム
アフティ,Afti,30,en-patch,アフティＧヘルム / アフティGFヘルム
ジェビア,Jebia,30,en-patch,ジェビアＧヘルム / ジェビアGFヘルム
ソル,,30,unresolved,ソルＧヘルム / ソルGFヘルム
フルン,Khezu,30,en-patch,フルンＧヘルム / フルンGFヘルム
ヴェノム,Venin,30,francised,ヴェノムＧヘルム / ヴェノムGFヘルム
ヴェラン,Veran,30,romaji,ヴェランヘルム / ヴェランＦヘルム
ガノン,Plesioth,30,en-patch,ガノンＧヘルム / ガノンGFヘルム
ヒプック,,30,unresolved,ヒプックＧヘルム / ヒプックGFヘルム
アビ,Abi,30,en-patch,アビＧヘルム / アビGFヘルム
ディアース,Diablos,30,en-patch,ディアースＧヘルム / ディアースGFヘルム
ヴォラ,Volga,30,en-patch,ヴォラＧヘルム / ヴォラGFヘルム
ヒプシー,Hypnoc,30,en-patch,ヒプシーＧヘルム / ヒプシーGFヘルム
ウィル,,30,unresolved,ウィルＧヘッド / ウィルGFヘッド
ククス,Kut,30,en-patch,ククスＧヘルム / ククスGFヘルム
アンジュ,,30,unresolved,アンジュＧヘルム / アンジュGFヘルム
ゼナ,Zena,30,en-patch,ゼナＧヘッド / ゼナGFヘッド
ヴァシム,Vashimu,30,en-patch,ヴァシムＺヘルム / ヴァシムZYヘルム
ヒュジ,Hyujikiki,30,en-patch,ヒュジＺヘルム / ヒュジZYヘルム
ギア,Engrenage,30,francised,ギアＺヘルム / ギアZYヘルム
ミド,Midogaron,30,en-patch,ミドＺヘルム / ミドZYヘルム
ガノ,Plesioth,30,en-patch,ガノＺヘルム / ガノZYヘルム
イナガミ,Inagami,30,monster,イナガミＺヘルム / イナガミZYヘルム
カシウス,Cassius,30,en-patch,カシウスＧヘルム / カシウスGFヘルム
アノル,Anorupatisu,30,en-patch,アノルＺヘルム / アノルZYヘルム
リンクス,,30,unresolved,リンクスＧヘルム / リンクスGFヘルム
ジンドル,Zindol,30,en-patch,ジンドルＧヘルム / ジンドルGFヘルム
ボガバド,Bogabado,30,en-patch,ボガバドＺヘルム / ボガバドZYヘルム
バルラ,Baruragaru,30,en-patch,バルラＺヘルム / バルラZYヘルム
グラビ,Gravios,30,en-patch,グラビＺヘルム / グラビZYヘルム
ノワール,,29,unresolved,ノワールヘッド / ノワールピアス
ディクト,Dicto,28,en-patch,ディクトヘッド / ディクトＦヘッド
クリュス,Kruss,28,en-patch,クリュスヘッド / クリュスＦヘッド
ロドクル,Rodokuru,28,en-patch,ロドクルヘッド / ロドクルＦヘッド
神龍,,28,unresolved,神龍篭手・赤 / 神龍Ｆ篭手・赤
裂破,,28,unresolved,裂破篭手・赤 / 裂破Ｆ篭手・赤
エスピ,Espi,27,romaji,エスピマスク・緑 / エスピＦマスク・緑
フランキー,Franky,27,en-patch,フランキーＧヘッド / フランキーGFヘッド
ギルドガード,Guilde,26,francised,ギルドガードマスク紅 / ギルドガードハット紅
Ｇ・ガードＲ,,26,unresolved,Ｇ・ガードＲハット蒼 / Ｇ・ガードＲマスク蒼
ガーディアン,Gardien,25,francised,ガーディアンヘルム / ガーディアンマスク
クロウリー,Klouri,25,romaji,クロウリーヘッド・赤 / クロウリーヘッド・黒
ファウスト,Faust,25,romaji,ファウストハット・赤 / ファウストハット・黒
アネシス,Aneshisu,25,en-patch,アネシスヘルム / アネシスキャップ
ヒメロス,Himeros,25,en-patch,ヒメロスヘルム / ヒメロスＦヘルム
カリエン,Charien,25,en-patch,カリエンキャップ / カリエンＦキャップ
ルディア,Ledia,25,en-patch,ルディアヘッド / ルディアＦヘッド
シュナイト,Schnite,25,en-patch,シュナイトピアス / シュナイトFZピアス
ザーカー,Zaakaa,25,en-patch,ザーカーヘッド / ザーカーＦヘッド
アトラ,Atra,25,en-patch,アトラヘルム / アトラＦヘルム
プペン,Pupen,25,en-patch,プペンヘルム / プペンＦヘルム
ルデオス,Rudeos,25,en-patch,ルデオスヘルム / ルデオスＦヘルム
オルケシス,Orchesis,25,en-patch,オルケシスヘルム / オルケシスＦヘルム
オネロ,Onero,25,en-patch,オネロヘルム / オネロキャップ
しろねこ服,,24,unresolved,しろねこ服マスク / しろねこ服Ｆマスク
スマート,,24,unresolved,スマートヘッド / スマートＦヘッド
オルデン,Orden,24,en-patch,オルデンヘッド / オルデンハット
ブラン,Buran,24,en-patch,ブランピアス / ブランヘッド
竜巻,,24,unresolved,竜巻篭手・黒 / 竜巻Ｆ篭手・黒
真空,,24,unresolved,真空篭手・黒 / 真空Ｆ篭手・黒
サンタ,Santa,22,en-patch,サンタＦヘッド / サンタＤヘッド
キャノン,Kyanon,21,romaji,キャノンスーツ・緑 / キャノンＦスーツ・緑
アクセル,Aksel,21,romaji,アクセルスーツ・緑 / アクセルＦスーツ・緑
レザーライト,Cuir,20,francised,レザーライトヘルム / レザーライトＵヘルム
コムラド,Camarade,20,francised,コムラドヘルム【猩】 / コムラドヘルム【葉】
アプカル,Apkallu,20,en-patch,アプカルヘルム / アプカルキャップ
アミティエ,Amitie,20,en-patch,アミティエヘッド / アミティエハット
トランス,Transe,20,francised,トランスピアス / トランスＦピアス
ブレシス,Bureshisu,20,en-patch,ブレシスヘルム / ブレシスＦヘルム
アーク,,20,unresolved,アークヘルム / アークキャップ
レギス,Regis,20,en-patch,レギスヘッド / レギスＦヘッド
ローク,Rok,20,romaji,ロークヘルム / ロークキャップ
リエーザ,Rieza,20,romaji,リエーザヘッド / リエーザＦヘッド
デゼール,Désert,20,francised,デゼールヘッド / デゼールＦヘッド
ハーヴェスト,Moisson,20,francised,ハーヴェストヘッド / ハーヴェストピアス
テューン,,20,unresolved,テューンヘッド / テューンFZヘッド
ハルバダー,Harubadaa,20,en-patch,ハルバダーヘッド / ハルバダーＦヘッド
トラッカー,Traqueur,20,francised,トラッカーキャップ / トラッカーＦキャップ
チェイサー,Poursuivant,20,francised,チェイサーキャップ / チェイサーＦキャップ
ロイヤル,,20,unresolved,ロイヤルヘッド / ロイヤルＦヘッド
ロード,,20,unresolved,ロードキャップ / ロードＦキャップ
ベルドラ,Berdla,20,romaji,ベルドラヘルム / ベルドラキャップ
スフィア,Sufia,20,en-patch,スフィアヘッド / スフィアＦヘッド
ガーネット,Grenat,20,francised,ガーネットヘルム / ガーネットＦヘルム
アメジスト,Améthyste,20,francised,アメジストヘルム / アメジストＦヘルム
コーラル,Corail,20,francised,コーラルヘルム / コーラルＦヘルム
クォーツ,,20,unresolved,クォーツヘルム / クォーツＦヘルム
ルビー,,20,unresolved,ルビーヘルム / ルビーＦヘルム
サファイア,Saphir,20,francised,サファイアヘルム / サファイアＦヘルム
エメラルド,Emerard,20,romaji,エメラルドヘルム / エメラルドＦヘルム
パール,,20,unresolved,パールヘルム / パールＦヘルム
トパーズ,Topaze,20,francised,トパーズキャップ / トパーズＦキャップ
トルマリン,,20,unresolved,トルマリンキャップ / トルマリンＦキャップ
ラピス,Lapis,20,en-patch,ラピスキャップ / ラピスＦキャップ
フェリ,Feri,20,romaji,フェリヘルム / フェリＦヘルム
ジャンピン,Jumpin',20,en-patch,ジャンピンバンド / ジャンピンＦバンド
アデュス,Adeyus,20,romaji,アデュスヘルム / アデュスＦヘルム
ワグネ,Wagune,20,en-patch,ワグネヘッド / ワグネＦヘッド
クロッス,Kurossu,20,en-patch,クロッスヘッド / クロッスＦヘッド
ルベライト,Rubellite,20,en-patch,ルベライトヘルム / ルベライトＦヘルム
ラズライト,Lazurite,20,en-patch,ラズライトヘルム / ラズライトＦヘルム
ジルコン,,20,unresolved,ジルコンヘルム / ジルコンＦヘルム
スピネル,Spinel,20,en-patch,スピネルヘルム / スピネルＦヘルム
パイローブ,Pyrope,20,en-patch,パイローブヘルム / パイローブＦヘルム
アイオラ,Iolite,20,en-patch,アイオラヘルム / アイオラＦヘルム
ジェイド,Jeid,20,romaji,ジェイドヘルム / ジェイドＦヘルム
アゲート,,20,unresolved,アゲートヘルム / アゲートＦヘルム
シトリン,Citrine,20,en-patch,シトリンキャップ / シトリンＦキャップ
ペリドット,Peridot,20,en-patch,ペリドットキャップ / ペリドットＦキャップ
ターコイズ,,20,unresolved,ターコイズキャップ / ターコイズＦキャップ
白虎・剣聖,,20,unresolved,白虎・剣聖Ｇヘルム / 白虎・剣聖GFヘルム
朱雀・剣聖,,20,unresolved,朱雀・剣聖Ｇヘルム / 朱雀・剣聖GFヘルム
玄武・剣聖,,20,unresolved,玄武・剣聖Ｇヘルム / 玄武・剣聖GFヘルム
青龍・剣聖,,20,unresolved,青龍・剣聖Ｇヘルム / 青龍・剣聖GFヘルム
白虎・双龍,,20,unresolved,白虎・双龍Ｇヘルム / 白虎・双龍GFヘルム
朱雀・双龍,,20,unresolved,朱雀・双龍Ｇヘルム / 朱雀・双龍GFヘルム
玄武・双龍,,20,unresolved,玄武・双龍Ｇヘルム / 玄武・双龍GFヘルム
青龍・双龍,,20,unresolved,青龍・双龍Ｇヘルム / 青龍・双龍GFヘルム
白虎・剣王,,20,unresolved,白虎・剣王Ｇヘルム / 白虎・剣王GFヘルム
朱雀・剣王,,20,unresolved,朱雀・剣王Ｇヘルム / 朱雀・剣王GFヘルム
玄武・剣王,,20,unresolved,玄武・剣王Ｇヘルム / 玄武・剣王GFヘルム
青龍・剣王,,20,unresolved,青龍・剣王Ｇヘルム / 青龍・剣王GFヘルム
白虎・刀神,,20,unresolved,白虎・刀神Ｇヘルム / 白虎・刀神GFヘルム
朱雀・刀神,,20,unresolved,朱雀・刀神Ｇヘルム / 朱雀・刀神GFヘルム
玄武・刀神,,20,unresolved,玄武・刀神Ｇヘルム / 玄武・刀神GFヘルム
青龍・刀神,,20,unresolved,青龍・刀神Ｇヘルム / 青龍・刀神GFヘルム
白虎・天槍,,20,unresolved,白虎・天槍Ｇヘルム / 白虎・天槍GFヘルム
朱雀・天槍,,20,unresolved,朱雀・天槍Ｇヘルム / 朱雀・天槍GFヘルム
玄武・天槍,,20,unresolved,玄武・天槍Ｇヘルム / 玄武・天槍GFヘルム
青龍・天槍,,20,unresolved,青龍・天槍Ｇヘルム / 青龍・天槍GFヘルム
白虎・砲皇,,20,unresolved,白虎・砲皇Ｇヘルム / 白虎・砲皇GFヘルム
朱雀・砲皇,,20,unresolved,朱雀・砲皇Ｇヘルム / 朱雀・砲皇GFヘルム
玄武・砲皇,,20,unresolved,玄武・砲皇Ｇヘルム / 玄武・砲皇GFヘルム
青龍・砲皇,,20,unresolved,青龍・砲皇Ｇヘルム / 青龍・砲皇GFヘルム
白虎・鈍器獣,,20,unresolved,白虎・鈍器獣Ｇヘルム / 白虎・鈍器獣GFヘルム
朱雀・鈍器獣,,20,unresolved,朱雀・鈍器獣Ｇヘルム / 朱雀・鈍器獣GFヘルム
玄武・鈍器獣,,20,unresolved,玄武・鈍器獣Ｇヘルム / 玄武・鈍器獣GFヘルム
青龍・鈍器獣,,20,unresolved,青龍・鈍器獣Ｇヘルム / 青龍・鈍器獣GFヘルム
白虎・奏帝,,20,unresolved,白虎・奏帝Ｇヘルム / 白虎・奏帝GFヘルム
朱雀・奏帝,,20,unresolved,朱雀・奏帝Ｇヘルム / 朱雀・奏帝GFヘルム
玄武・奏帝,,20,unresolved,玄武・奏帝Ｇヘルム / 玄武・奏帝GFヘルム
青龍・奏帝,,20,unresolved,青龍・奏帝Ｇヘルム / 青龍・奏帝GFヘルム
白虎・銃傑,,20,unresolved,白虎・銃傑Ｇマスク / 白虎・銃傑GFマスク
朱雀・銃傑,,20,unresolved,朱雀・銃傑Ｇマスク / 朱雀・銃傑GFマスク
玄武・銃傑,,20,unresolved,玄武・銃傑Ｇマスク / 玄武・銃傑GFマスク
青龍・銃傑,,20,unresolved,青龍・銃傑Ｇマスク / 青龍・銃傑GFマスク
白虎・銃仙,,20,unresolved,白虎・銃仙Ｇマスク / 白虎・銃仙GFマスク
朱雀・銃仙,,20,unresolved,朱雀・銃仙Ｇマスク / 朱雀・銃仙GFマスク
玄武・銃仙,,20,unresolved,玄武・銃仙Ｇマスク / 玄武・銃仙GFマスク
青龍・銃仙,,20,unresolved,青龍・銃仙Ｇマスク / 青龍・銃仙GFマスク
白虎・弓鬼,,20,unresolved,白虎・弓鬼Ｇマスク / 白虎・弓鬼GFマスク
朱雀・弓鬼,,20,unresolved,朱雀・弓鬼Ｇマスク / 朱雀・弓鬼GFマスク
玄武・弓鬼,,20,unresolved,玄武・弓鬼Ｇマスク / 玄武・弓鬼GFマスク
青龍・弓鬼,,20,unresolved,青龍・弓鬼Ｇマスク / 青龍・弓鬼GFマスク
ヒスイ,Hisui,20,en-patch,ヒスイヘルム / ヒスイＦヘルム
ブラッド,Sang,20,francised,ブラッドヘルム / ブラッドＦヘルム
白虎・穿凰,,20,unresolved,白虎・穿凰Ｇヘルム / 白虎・穿凰GFヘルム
朱雀・穿凰,,20,unresolved,朱雀・穿凰Ｇヘルム / 朱雀・穿凰GFヘルム
玄武・穿凰,,20,unresolved,玄武・穿凰Ｇヘルム / 玄武・穿凰GFヘルム
青龍・穿凰,,20,unresolved,青龍・穿凰Ｇヘルム / 青龍・穿凰GFヘルム
オニキス,,20,unresolved,オニキスヘルム / オニキスＦヘルム
ルチル,Rutile,20,en-patch,ルチルヘルム / ルチルＦヘルム
白虎・斬将,,20,unresolved,白虎・斬将Ｇヘルム / 白虎・斬将GFヘルム
朱雀・斬将,,20,unresolved,朱雀・斬将Ｇヘルム / 朱雀・斬将GFヘルム
玄武・斬将,,20,unresolved,玄武・斬将Ｇヘルム / 玄武・斬将GFヘルム
青龍・斬将,,20,unresolved,青龍・斬将Ｇヘルム / 青龍・斬将GFヘルム
セイラー,Matelot,20,francised,セイラーキャップ / セイラーＧキャップ
ヒプノZ,Hypnoc,20,en-patch,ヒプノZFヘルム / ヒプノZFキャップ
フルフルZ,Khezu,20,en-patch,フルフルZFヘルム / フルフルZFキャップ
